product_name,product_code,price,stock,category,status
Mechanical Keyboard K87,P1001,299.00,120,Accessories,1
Wireless Mouse M2,P1002,129.00,200,Accessories,1
27-inch 4K Monitor,P1003,1899.00,35,Display,1
USB-C Docking Station,P1004,499.00,60,Accessories,1
Notebook Pro 14 Sleeve,P1005,89.00,150,Bags,1
Ergonomic Office Chair,P1006,1399.00,20,Furniture,1
Standing Desk Basic,P1007,2199.00,15,Furniture,1
Noise Cancelling Headphones,P1008,999.00,45,Audio,1
Portable SSD 1TB,P1009,749.00,80,Storage,1
Webcam Pro 1080p,P1010,199.00,140,Accessories,1
Smart Speaker Mini,P1011,299.00,95,Audio,1
Standing Lamp Air,P1012,159.00,70,Furniture,1
Portable Charger 20000mAh,P1013,249.00,180,Accessories,1
Mechanical Pencil Set,P1014,59.00,260,Stationery,1
Ergo Laptop Stand,P1015,189.00,110,Accessories,1
Wireless Earbuds Pro,P1016,699.00,85,Audio,1
Compact Air Purifier,P1017,899.00,40,Home,1
Travel Backpack Lite,P1018,329.00,130,Bags,1
4K Streaming Camera,P1019,1299.00,55,Accessories,1
Desk Organizer Set,P1020,79.00,220,Stationery,1
Noise Isolating Headset,P1021,459.00,65,Audio,1
Foldable Tablet Stand,P1022,99.00,175,Accessories,1
Premium Desk Mat,P1023,129.00,140,Stationery,1
Smart Desk Clock,P1024,239.00,90,Home,1
Mini Projector Light,P1025,1599.00,25,Display,1
